"state","stateabb","year","binge_all","binge_male","binge_female","poverty"
"Nebraska","NE",2015,19.5,26,13.1,12.6
"Nebraska","NE",2016,20,27.2,13.1,11.4
"Nevada","NV",2011,18.6,23.9,13.2,15.9
"Nevada","NV",2012,15.1,20.7,9.4,16.4
"Nevada","NV",2013,15.2,21.1,9.2,15.8
"Nevada","NV",2014,16,21.6,10.4,15.2
"Nevada","NV",2015,14.2,20.2,8.4,14.7
"Nevada","NV",2016,15.8,20,11.7,13.8
"New Hampshire","NH",2011,18.7,24.7,12.9,8.8
"New Hampshire","NH",2012,17,22,12.3,10
"New Hampshire","NH",2013,16.8,21.7,12.2,8.7
"New Hampshire","NH",2014,16.8,21.6,12.4,9.2
"New Hampshire","NH",2015,16.5,21.5,11.8,8.2
"New Hampshire","NH",2016,18,23.1,13.2,7.3
"New Jersey","NJ",2011,18.2,24.1,12.7,10.4
"New Jersey","NJ",2012,17.7,23.8,12.1,10.8
"New Jersey","NJ",2013,16.3,21.5,11.6,11.4
"New Jersey","NJ",2014,15.8,20.5,11.6,11.1
"New Jersey","NJ",2015,16,20.9,11.6,10.8
"New Jersey","NJ",2016,16,20.3,12,10.4
"New Mexico","NM",2011,16.4,23,10.1,21.5
"New Mexico","NM",2012,14.6,20.3,9.2,20.8
"New Mexico","NM",2013,14.5,20.1,9.1,21.9
"New Mexico","NM",2014,13.7,20.5,7.4,21.3
"New Mexico","NM",2015,12.9,17.4,8.6,20.4
"New Mexico","NM",2016,15,20.8,9.5,19.8
"New York","NY",2011,19.6,25.1,14.4,16
"New York","NY",2012,17,23.3,11.2,15.9
"New York","NY",2013,17.4,23.3,12.1,16
"New York","NY",2014,15,18.4,11.9,15.9
"New York","NY",2015,16.7,22,11.9,15.4
"New York","NY",2016,17.5,22.7,12.8,14.7
"North Carolina","NC",2011,15.2,21.3,9.7,17.9
"North Carolina","NC",2012,13.1,18.5,8.2,18
"North Carolina","NC",2013,13,17.9,8.6,17.9
"North Carolina","NC",2014,13.6,19.6,8.3,17.2
"North Carolina","NC",2015,13.8,18.8,9.3,16.4
"North Carolina","NC",2016,14.6,18.9,10.7,15.4
"North Dakota","ND",2011,23.8,31.3,16.4,12.2
"North Dakota","ND",2012,24.1,30,18.1,11.2
"North Dakota","ND",2013,23.8,32.2,15.5,11.8
"North Dakota","ND",2014,24,29.9,17.8,11.5
"North Dakota","ND",2015,24.1,31,16.9,11
"North Dakota","ND",2016,24.8,32.1,17.2,10.7
"Ohio","OH",2011,20.1,26.6,14,16.4
"Ohio","OH",2012,18,23.5,13,16.3
"Ohio","OH",2013,17.1,22.5,12.1,16
"Ohio","OH",2014,18,24.1,12.5,15.8
"Ohio","OH",2015,18.2,24,12.9,14.8
"Ohio","OH",2016,17.9,23.5,12.8,14.6
"Oklahoma","OK",2011,16.5,24.2,9.3,17.2
"Oklahoma","OK",2012,14.4,19.7,9.3,17.2
"Oklahoma","OK",2013,12.7,17.7,7.9,16.8
"Oklahoma","OK",2014,12.8,18.6,7.4,16.6
"Oklahoma","OK",2015,13.1,18,8.6,16.1
"Oklahoma","OK",2016,11.8,16.3,7.7,16.3
"Oregon","OR",2011,16.4,21.4,11.7,17.5
"Oregon","OR",2012,15.3,20.2,10.7,17.2
"Oregon","OR",2013,16.5,20.8,12.4,16.7
"Oregon","OR",2014,16.6,20.8,12.6,16.6
"Oregon","OR",2015,16.6,20.3,13.1,15.4
"Oregon","OR",2016,16.3,20.8,11.9,13.3
"Pennsylvania","PA",2011,18.3,24.1,13,13.8
"Pennsylvania","PA",2012,17.9,23.6,12.6,13.7
"Pennsylvania","PA",2013,17.2,24.2,10.7,13.7
"Pennsylvania","PA",2014,16.7,23.2,10.6,13.6
"Pennsylvania","PA",2015,17,22.6,11.7,13.2
"Pennsylvania","PA",2016,19.4,25.3,13.8,12.9
"Puerto Rico","PR",2011,15.3,24.1,7.8,45.6
"Puerto Rico","PR",2012,14.1,21.8,7.6,44.9
"Puerto Rico","PR",2013,15,23.6,7.5,45.4
"Puerto Rico","PR",2014,13.2,18.8,8.5,46.2
"Puerto Rico","PR",2015,12.7,20.1,6.4,46.1
"Puerto Rico","PR",2016,12.5,18.1,7.7,43.5
"Rhode Island","RI",2011,19.6,27,13.1,14.7
"Rhode Island","RI",2012,17.2,22.6,12.3,13.7
"Rhode Island","RI",2013,17.8,23.4,12.7,14.3
"Rhode Island","RI",2014,18.4,25.2,12.1,14.3
"Rhode Island","RI",2015,16,21,11.4,13.9
"Rhode Island","RI",2016,15.8,21,11.1,12.8
"South Carolina","SC",2011,15.4,21.8,9.7,18.9
"South Carolina","SC",2012,15.4,21.8,9.6,18.3
"South Carolina","SC",2013,14.9,21.2,9.3,18.6
"South Carolina","SC",2014,14.1,19.7,9,18
"South Carolina","SC",2015,15.2,20.9,10.1,16.6
"South Carolina","SC",2016,16.8,22.9,11.3,15.3
"South Dakota","SD",2011,22.1,28.7,15.7,13.9
"South Dakota","SD",2012,20.6,27.4,13.9,13.4
"South Dakota","SD",2013,19.2,25,13.5,14.2
"South Dakota","SD",2014,17.4,22.9,12.1,14.2
"South Dakota","SD",2015,16.9,21.9,12,13.7
"South Dakota","SD",2016,19.3,24.3,14.3,13.3
"Tennessee","TN",2011,10,15.1,5.6,18.3
"Tennessee","TN",2012,11.3,16.6,6.5,17.9
"Tennessee","TN",2013,9.6,13.1,6.5,17.8
"Tennessee","TN",2014,10.6,15.7,5.9,18.3
"Tennessee","TN",2015,10.3,14,7,16.7
"Tennessee","TN",2016,13.1,16.6,9.8,15.8
"Texas","TX",2011,18.9,26.3,11.7,18.5
"Texas","TX",2012,16.2,24.1,8.8,17.9
"Texas","TX",2013,16.7,23.5,10.2,17.5
"Texas","TX",2014,16.3,22.1,10.8,17.2
"Texas","TX",2015,15.9,22.2,9.9,15.9
"Texas","TX",2016,17.9,24.4,11.7,15.6
"United States","US",2011,18.3,24.2,12.6,15.9
"United States","US",2012,16.9,22.9,11.4,15.9
"United States","US",2013,16.8,22.2,11.3,15.8
"United States","US",2014,16,21.4,11.1,15.5
"United States","US",2015,16.3,21.4,11.7,14.7
"United States","US",2016,16.9,21.9,12,14
"Utah","UT",2011,12,17,7,13.5
"Utah","UT",2012,11.2,15.2,7.2,12.8
"Utah","UT",2013,12.3,16.2,8.5,12.7
"Utah","UT",2014,11.4,15.3,7.5,11.7
"Utah","UT",2015,11.6,15.5,7.8,11.3
"Utah","UT",2016,12.5,16.7,8.3,10.2
"Vermont","VT",2011,18.5,24.6,12.6,11.5
"Vermont","VT",2012,19.3,25.1,14,11.8
"Vermont","VT",2013,17.1,22.5,12.1,12.3
"Vermont","VT",2014,17.9,23.5,12.7,12.2
"Vermont","VT",2015,17.2,22.5,12.2,10.2
"Vermont","VT",2016,18.4,23.3,13.8,11.9
"Virgin Islands","VI",2011,NA,NA,NA,NA
"Virgin Islands","VI",2012,NA,NA,NA,NA
"Virgin Islands","VI",2013,NA,NA,NA,NA
"Virgin Islands","VI",2014,NA,NA,NA,NA
"Virgin Islands","VI",2015,NA,NA,NA,NA
"Virgin Islands","VI",2016,15.2,22.9,8.6,NA
"Virginia","VA",2011,17.9,22.5,13.6,11.5
"Virginia","VA",2012,15.7,20.5,11.2,11.7
"Virginia","VA",2013,15.9,22,10.3,11.7
"Virginia","VA",2014,15.2,20,10.7,11.8
"Virginia","VA",2015,16.3,20.7,12.3,11.2
"Virginia","VA",2016,15.8,20.2,11.8,11
"Washington","WA",2011,17.8,21.9,13.6,13.9
"Washington","WA",2012,16.9,21.7,12.3,13.5
"Washington","WA",2013,16.8,21.3,12.4,14.1
"Washington","WA",2014,17.1,22.4,11.9,13.2
"Washington","WA",2015,16.1,19.4,12.9,12.2
"Washington","WA",2016,16.4,20.7,12.2,11.3
"West Virginia","WV",2011,10.1,15.5,5.2,18.6
"West Virginia","WV",2012,10.2,15.5,5.1,17.8
"West Virginia","WV",2013,11.2,15.9,6.7,18.5
"West Virginia","WV",2014,9.6,14.5,5,18.3
"West Virginia","WV",2015,10.6,16.5,5,17.9
"West Virginia","WV",2016,11.3,16.8,6.2,17.9
"Wisconsin","WI",2011,24.3,31.3,17.4,13.1
"Wisconsin","WI",2012,25.2,30.5,20.2,13.2
"Wisconsin","WI",2013,22.5,28.8,16.4,13.5
"Wisconsin","WI",2014,22.1,29.3,15,13.2
"Wisconsin","WI",2015,22.9,28.9,17.1,12.1
"Wisconsin","WI",2016,24.6,29.7,19.5,11.8
"Wyoming","WY",2011,18.9,26.7,11,11.3
"Wyoming","WY",2012,17,23.2,10.8,12.6
"Wyoming","WY",2013,16.6,22.3,10.7,10.9
"Wyoming","WY",2014,17.2,23.8,10.3,11.2
"Wyoming","WY",2015,16,21.3,10.5,11.1
"Wyoming","WY",2016,18.4,24.2,12.5,11.3
"Alabama","AL",2010,NA,NA,NA,19
"Alaska","AK",2010,NA,NA,NA,9.9
"Arizona","AZ",2010,NA,NA,NA,17.4
"Arkansas","AR",2010,NA,NA,NA,18.8
"California","CA",2010,NA,NA,NA,15.8
"Colorado","CO",2010,NA,NA,NA,13.4
"Connecticut","CT",2010,NA,NA,NA,10.1
"Delaware","DE",2010,NA,NA,NA,11.8
"District of Columbia","DC",2010,NA,NA,NA,19.2
"Florida","FL",2010,NA,NA,NA,16.5
"Georgia","GA",2010,NA,NA,NA,17.9
"Hawaii","HI",2010,NA,NA,NA,10.7
"Idaho","ID",2010,NA,NA,NA,15.7
"Illinois","IL",2010,NA,NA,NA,13.8
"Indiana","IN",2010,NA,NA,NA,15.3
"Iowa","IA",2010,NA,NA,NA,12.6
"Kansas","KS",2010,NA,NA,NA,13.6
"Kentucky","KY",2010,NA,NA,NA,19
"Louisiana","LA",2010,NA,NA,NA,18.7
"Maine","ME",2010,NA,NA,NA,12.9
"Maryland","MD",2010,NA,NA,NA,9.9
"Massachusetts","MA",2010,NA,NA,NA,11.4
"Michigan","MI",2010,NA,NA,NA,16.8
"Minnesota","MN",2010,NA,NA,NA,11.6
"Mississippi","MS",2010,NA,NA,NA,22.4
"Missouri","MO",2010,NA,NA,NA,15.3
"Montana","MT",2010,NA,NA,NA,14.6
"Nebraska","NE",2010,NA,NA,NA,12.9
"Nevada","NV",2010,NA,NA,NA,14.9
"New Hampshire","NH",2010,NA,NA,NA,8.3
"New Jersey","NJ",2010,NA,NA,NA,10.3
"New Mexico","NM",2010,NA,NA,NA,20.4
"New York","NY",2010,NA,NA,NA,14.9
"North Carolina","NC",2010,NA,NA,NA,17.5
"North Dakota","ND",2010,NA,NA,NA,13
"Ohio","OH",2010,NA,NA,NA,15.8
"Oklahoma","OK",2010,NA,NA,NA,16.9
"Oregon","OR",2010,NA,NA,NA,15.8
"Pennsylvania","PA",2010,NA,NA,NA,13.4
"Puerto Rico","PR",2010,NA,NA,NA,45
"Rhode Island","RI",2010,NA,NA,NA,14
"South Carolina","SC",2010,NA,NA,NA,18.2
"South Dakota","SD",2010,NA,NA,NA,14.4
"Tennessee","TN",2010,NA,NA,NA,17.7
"Texas","TX",2010,NA,NA,NA,17.9
"United States","US",2010,NA,NA,NA,15.3
"Utah","UT",2010,NA,NA,NA,13.2
"Vermont","VT",2010,NA,NA,NA,12.7
"Virginia","VA",2010,NA,NA,NA,11.1
"Washington","WA",2010,NA,NA,NA,13.4
"West Virginia","WV",2010,NA,NA,NA,18.1
"Wisconsin","WI",2010,NA,NA,NA,13.2
"Wyoming","WY",2010,NA,NA,NA,11.2
